1,Canyon Lake Park,"4181 Jackson Blvd, Rapid City, SD 57702",44.059887,-103.28727,park
2,Rushmore Lions Nature Park,"2901 Chapel Ln, Rapid City, SD 57702",44.058029,-103.295715,park
3,Dog Park,"3324 Idlehurst Ln, Rapid City, SD 57702",44.054813,-103.306129,park
4,Chapel In the Hills,"3788 Chapel Ln, Rapid City, SD 57702",44.048344,-103.298875,park
5,Lake Park Campground-Cottages,"2850 Chapel Ln, Rapid City, SD 57702",44.05777,-103.294907,campground
6,Happy Holiday RV Resort,"8990 US-16, Rapid City, SD 57702",43.99054,-103.268814,campground
7,Sheridan Lake South Shore Campground,"8221 US-16, Rapid City, SD 57702",44.005829,-103.254265,campground
8,Rapid City \/ Black Hills KOA Holiday,"3010 East, SD-44, Rapid City, SD 57703",44.07,-103.167145,campground
